organization,type,handle
Institute for Nonprofit News (INN),News Industry,inn
International Center for Journalists,News Industry,icfj-org
Internews in Kenya,News Industry,internews-ke
Investigative Reporting Workshop,News Industry,irworkshop
Invisible Institute,News Industry,invinst
IRE/NICAR,News Industry,ireapps
Irish Times,Newsroom,the-irish-times
Journal News (White Plains N.Y.),Newsroom,lohud
Journalism++,News Industry,jplusplus
JournalismAI,News Industry,journalismai
Kaiser Health News,Newsroom,khnews
KFF Data,News Industry,kffdata
Kiln,News Industry,kiln
KPBS,Newsroom,kpbs
KQED San Francisco,Newsroom,kqed
LAist (Southern California Public Radio),Newsroom,scpr
La Nación (Buenos Aires),Newsroom,lanacioncom
La Opinión,Newsroom,laopinion
Lawrence Journal-World,Newsroom,worldcompany
Le Monde,Newsroom,lemonde
Le Temps,Newsroom,labsletemps
Lenfest Institute for Journalism,News Industry,lenfest-institute
Lenfest Local Lab,Newsroom,lenfestlab
Lens (NOLA),Newsroom,thelens
Libération,Newsroom,liberation
Lighthouse Reports,Newsroom,lighthouse-reports
Los Angeles Times Data Desk,Newsroom,datadesk
Louisville Courier-Journal,Newsroom,courierjournal
Mashable,Newsroom,mashable
McClatchy Company,Newsroom,mcclatchy
McClatchy Southeast Data Desk,Newsroom,mcclatchy-southeast
Meedan,News Industry,meedan
Miami Herald,Newsroom,miamiherald
Mic News,Newsroom,micnews
Michigan Radio,Newsroom,michiganradio
Milwaukee Journal Sentinel Data Hub,Newsroom,datahub
Minneapolis Star Tribune,Newsroom,minneapolisstartribune
Minneapolis Star Tribune Lab,Newsroom,striblab
MinnPost,Newsroom,minnpost
Mirror Media 鏡傳媒,Newsroom,mirror-media
Mission Local,Newsroom,missionlocal
MIT Technology Review,Newsroom,technologyreview
Montana Free Press,Newsroom,mtfreepress
Mother Jones,Newsroom,motherjones
Muck Rack,News Industry,muckrack
MuckRock,News Industry,muckrock
Nation Media Group (Nairobi),Newsroom,nmg-digital
National Geographic Partners,Newsroom,natgeo
National Geographic Society,Newsroom,natgeosociety
NBC News,Newsroom,nbcnews
New Scientist,Newsroom,newscientistapps
The 19th,Newsroom,the-19th
The 51st,Newsroom,the51stnews
New York Daily News,Newsroom,nydailynews
New York Magazine,Newsroom,nymag
New York Post,Newsroom,newyorkpost
New York Public Radio,Newsroom,nypublicradio
New York Times,Newsroom,nytimes
New York Times Newsroom Developers,Newsroom,newsdev
New York Times R&D Group,Newsroom,nytlabs
New York Times The Upshot,Newsroom,theupshot
New Yorker,Newsroom,newyorker
News Catalyst,News Industry,news-catalyst
News Journal (New Castle Del.),Newsroom,delawaredata
News Revenue Hub,News Industry,newsrevenuehub
NewsApps.io,News Industry,newsappsio
Newsday,Newsroom,newsday
