org,year,count
civio,2013,1
civio,2014,2
civio,2015,12
civio,2016,16
civio,2017,11
civio,2018,9
civio,2019,1
civio,2021,1
civio,2023,1
comp-journalism,2014,1
comp-journalism,2015,3
comp-journalism,2016,5
comp-journalism,2017,1
comp-journalism,2018,2
comp-journalism,2019,1
comp-journalism,2020,2
comp-journalism,2021,2
comp-journalism,2022,2
comp-journalism,2024,1
condenast,2011,2
condenast,2013,4
condenast,2014,2
condenast,2015,4
condenast,2016,2
condenast,2017,6
condenast,2018,4
condenast,2019,9
condenast,2020,7
condenast,2021,6
condenast,2022,5
condenast,2023,2
condenast,2024,4
condenast,2025,2
consumer-reports-innovation-lab,2017,1
consumer-reports-innovation-lab,2020,1
consumer-reports-innovation-lab,2021,1
consumer-reports-innovation-lab,2025,2
consumerreports,2025,1
coralproject,2014,1
coralproject,2015,9
coralproject,2016,20
coralproject,2017,15
coralproject,2018,14
coralproject,2019,2
coralproject,2020,5
coralproject,2021,4
coralproject,2024,1
cornelldatajournal,2023,1
cornelldatajournal,2024,6
cornelldatajournal,2025,11
correctiv,2014,6
correctiv,2015,21
correctiv,2016,13
correctiv,2017,20
correctiv,2018,3
correctiv,2019,3
correctiv,2021,1
correctiv,2022,5
correctiv,2024,1
courierjournal,2015,1
courierjournal,2017,4
courierjournal,2018,1
courierjournal,2019,11
courierjournal,2020,2
cronkite-news,2015,1
cunyjschool,2010,22
cunyjschool,2011,11
cunyjschool,2014,1
cunyjschool,2015,2
dailybeast,2016,1
dailybeast,2017,1
dailybeast,2018,2
dailybeast,2019,1
dailybeast,2025,4
dailycal-projects,2015,1
dailycal-projects,2016,9
dailycal-projects,2017,15
dailycal-projects,2018,10
dailycal-projects,2019,5
dailycal-projects,2020,7
dailycal-projects,2021,3
dailykos,2015,2
dailykos,2017,2
dailykos,2020,1
dallasmorningnews,2012,1
dallasmorningnews,2014,8
dallasmorningnews,2015,14
dallasmorningnews,2016,33
dallasmorningnews,2017,21
dallasmorningnews,2018,10
dallasmorningnews,2019,7
dallasmorningnews,2020,3
dallasmorningnews,2022,6
dallasmorningnews,2023,4
dallasmorningnews,2024,2
dallasmorningnews,2025,4
data-liberation-project,2022,6
data-liberation-project,2023,11
data-liberation-project,2024,6
data-liberation-project,2025,1
datadesk,2009,2
datadesk,2010,5
datadesk,2011,12
datadesk,2012,4
datadesk,2013,10
datadesk,2014,10
datadesk,2015,12
datadesk,2016,12
datadesk,2017,17
datadesk,2018,23
datadesk,2019,31
datadesk,2020,13
datadesk,2021,9
datadesk,2022,6
datadesk,2023,3
datadesk,2024,1
datadesk,2025,1
datahub,2014,1
datahub,2015,1
datahub,2016,17
datahub,2017,6
datahub,2018,1
datahub,2019,1
datahub,2021,1
datahub,2023,1
datahub,2024,1
datamade,2011,2
datamade,2012,6
datamade,2013,14
datamade,2014,27
datamade,2015,27
datamade,2016,29
datamade,2017,21
datamade,2018,16
datamade,2019,10
datamade,2020,9
datamade,2021,2
datamade,2022,6
datamade,2023,4
datamade,2024,5
datamade,2025,4
datanews,2014,3
datanews,2015,20
datanews,2016,12
datanews,2017,3
datanews,2018,1
datawrapper,2012,1
datawrapper,2013,2
datawrapper,2014,2
datawrapper,2016,1
datawrapper,2018,4
datawrapper,2019,5
datawrapper,2020,2
datawrapper,2021,2
delawaredata,2012,2
delawaredata,2013,2
denverpost,2012,1
denverpost,2013,8
denverpost,2014,22
denverpost,2015,42
denverpost,2016,26
denverpost,2017,7
denverpost,2018,11
derspiegel,2013,1
derspiegel,2020,2
derspiegel,2023,3
deseretnews,2018,2
deseretnews,2021,2
dnainfo,2015,2
documentcloud,2009,4
documentcloud,2010,1
documentcloud,2011,3
documentcloud,2012,3
documentcloud,2013,1
documentcloud,2014,3
documentcloud,2015,3
documentcloud,2016,1
documentcloud,2018,2
dowjones,2012,1
dowjones,2013,2
dowjones,2014,10
dowjones,2015,24
dowjones,2016,9
dowjones,2017,3
dowjones,2018,6
dowjones,2019,8
dowjones,2020,4
dowjones,2021,3
dowjones,2022,3
dowjones,2023,1
dowjones,2025,2
dronejournalismlab,2013,1
dronejournalismlab,2016,1
dukechronicle,2011,1
dukechronicle,2012,2
dukechronicle,2013,2
dukechronicle,2014,2
dukechronicle,2015,2
dukechronicle,2016,3
dw-data,2018,23
dw-data,2019,14
dw-data,2020,10
dw-data,2021,16
dw-data,2022,12
dw-data,2023,13
dw-data,2024,13
dw-data,2025,16
economistdigitalsolutions,2015,4
economistdigitalsolutions,2016,1
economistdigitalsolutions,2018,8
economistdigitalsolutions,2019,5
economistdigitalsolutions,2021,1
economistdigitalsolutions,2022,1
enigma-io,2014,3
enigma-io,2015,5
enigma-io,2016,2
enigma-io,2023,1
enigma-io,2025,1
financial-times,2013,9
financial-times,2014,43
financial-times,2015,112
financial-times,2016,244
financial-times,2017,118
financial-times,2018,73
financial-times,2019,46
financial-times,2020,25
financial-times,2021,12
financial-times,2022,10
financial-times,2023,6
financial-times,2024,2
fiquemsabendo,2018,1
fiquemsabendo,2021,2
fiquemsabendo,2025,3
firstlookmedia,2014,1
firstlookmedia,2015,2
firstlookmedia,2016,7
firstlookmedia,2017,3
firstlookmedia,2018,5
firstlookmedia,2019,5
firstlookmedia,2020,2
firstlookmedia,2021,2
fivethirtyeight,2014,2
fivethirtyeight,2015,1
fivethirtyeight,2016,6
fivethirtyeight,2017,1
fivethirtyeight,2018,2
fivethirtyeight,2019,3
fivethirtyeight,2020,3
fivethirtyeight,2021,4
fivethirtyeight,2022,1
flatwaterfreepress,2023,2
flatwaterfreepress,2024,1
flatwaterfreepress,2025,3
folhasp,2015,1
folhasp,2016,4
folhasp,2019,2
folhasp,2024,1
francetv,2014,8
francetv,2015,11
francetv,2016,23
francetv,2017,2
francetv,2019,6
francetv,2020,2
francetv,2024,1
freedomofpress,2012,1
freedomofpress,2013,1
freedomofpress,2015,4
freedomofpress,2016,15
freedomofpress,2017,17
freedomofpress,2018,12
freedomofpress,2019,7
freedomofpress,2020,9
freedomofpress,2021,5
freedomofpress,2022,6
freedomofpress,2023,9
freedomofpress,2024,4
freedomofpress,2025,28
frontlinepbs,2022,2
ft-interactive,2012,5
ft-interactive,2013,11
ft-interactive,2014,12
ft-interactive,2015,20
ft-interactive,2016,81
ft-interactive,2017,88
ft-interactive,2018,9
ft-interactive,2019,6
ft-interactive,2020,1
ft-interactive,2024,1
ftc-editorial,2015,2
ftc-editorial,2016,11
ftc-editorial,2017,1
ftchinese,2015,9
ftchinese,2016,5
ftchinese,2017,14
ftchinese,2018,3
ftchinese,2019,1
ftchinese,2020,3
ftchinese,2021,3
ftchinese,2023,2
ftchinese,2024,1
ftlabs,2012,4
ftlabs,2013,5
ftlabs,2014,3
ftlabs,2015,4
ftlabs,2016,38
ftlabs,2017,29
ftlabs,2018,10
ftlabs,2019,11
ftlabs,2020,5
fullfact,2017,2
fullfact,2019,2
fullfact,2020,1
fullfact,2022,1
fullfact,2023,3
fullfact,2024,2
fullfact,2025,3
gannettdigital,2014,2
gannettdigital,2015,9
gannettdigital,2016,4
gannettdigital,2017,2
gannettdigital,2018,5
gannettdigital,2021,2
gannettdigital,2022,1
gannettdigital,2024,1
gannettdigital,2025,2
gatehousemedia,2018,3
gatehousemedia,2019,14
gawkermedia,2012,1
gawkermedia,2014,3
gawkermedia,2015,6
gawkermedia,2016,4
gawkermedia,2017,3
gawkermedia,2018,2
gawkermedia,2019,5
gdnmobilelab,2016,24
gdnmobilelab,2017,13
gdnmobilelab,2018,4
globeandmail,2015,1
globeandmail,2017,14
globeandmail,2018,8
globeandmail,2019,17
globeandmail,2020,5
globeandmail,2021,5
globocom,2010,1
globocom,2011,4
globocom,2012,29
globocom,2013,13
globocom,2014,32
globocom,2015,13
globocom,2016,34
globocom,2017,46
globocom,2018,42
globocom,2019,15
globocom,2020,16
globocom,2021,12
globocom,2022,5
globocom,2024,1
globocom,2025,5
gmg-special-projects-desk,2017,2
gmg-special-projects-desk,2018,2
gmg-special-projects-desk,2019,5
gmg-special-projects-desk,2020,3
googletrends,2015,17
googletrends,2016,18
googletrends,2017,19
googletrends,2018,15
googletrends,2019,7
googletrends,2020,3
googletrends,2022,2
govtrack,2011,1
govtrack,2012,3
govtrack,2013,3
govtrack,2014,5
govtrack,2015,3
govtrack,2016,1
govtrack,2017,4
govtrack,2019,2
govtrack,2020,1
govtrack,2025,1
grist-data-desk,2022,1
grist-data-desk,2023,4
grist-data-desk,2024,3
grist-data-desk,2025,7
guardian,2010,9
guardian,2011,15
guardian,2012,29
guardian,2013,65
guardian,2014,130
guardian,2015,190
guardian,2016,221
guardian,2017,236
guardian,2018,210
guardian,2019,200
guardian,2020,190
guardian,2021,136
guardian,2022,127
guardian,2023,93
guardian,2024,47
guardian,2025,24
haaretz,2015,1
haaretz,2016,18
haaretz,2017,6
haaretz,2018,2
haaretz,2019,2
haaretz,2020,3
haaretz,2021,1
haaretz,2022,4
haaretz,2024,1
hackshackers,2011,1
hackshackers,2012,2
hackshackers,2013,1
hackshackers,2015,3
hackshackers,2016,4
hackshackers,2017,2
hartfordcourant,2015,9
hartfordcourant,2017,1
harvard-lampoon,2021,1
harvard-lampoon,2022,1
hbrgtech,2014,3
hearst-dd,2014,1
hearst-dd,2015,3
