org,year,count
propublica,2011,4
propublica,2012,4
propublica,2013,4
propublica,2014,4
propublica,2015,1
propublica,2016,6
propublica,2017,8
propublica,2018,9
propublica,2019,7
propublica,2020,1
propublica,2021,1
propublica,2022,2
propublica,2025,2
prx,2011,9
prx,2012,1
prx,2013,13
prx,2014,17
prx,2015,13
prx,2016,6
prx,2017,12
prx,2018,6
prx,2019,6
prx,2020,1
prx,2021,7
prx,2022,9
prx,2023,3
prx,2024,20
prx,2025,2
publici,2014,1
publici,2015,1
publici,2016,5
publici,2017,8
publici,2018,26
publici,2019,11
publici,2020,11
publici,2021,4
publici,2023,1
publicradiointernational,2014,1
publicradiointernational,2015,2
publicradiointernational,2017,1
publicradiointernational,2018,1
publicsource,2016,2
publicsource,2017,5
publicsource,2018,1
publicsource,2019,3
publicsource,2020,1
publicsource,2021,1
publicsource,2022,1
publicsource,2025,1
quartz,2013,1
quartz,2014,2
quartz,2015,7
quartz,2016,22
quartz,2017,32
quartz,2018,3
quartz,2019,12
quartz,2020,9
quartz,2021,1
radiofrance,2016,1
radiofrance,2017,7
radiofrance,2019,1
radiofrance,2020,3
radiofrance,2021,1
radiofrance,2022,3
radiofrance,2023,3
radiofrance,2024,4
radiofrance,2025,6
reesenewslab,2017,2
reesenewslab,2021,1
reesenewslab,2024,1
registerguard,2010,4
registerguard,2011,4
registerguard,2012,11
registerguard,2013,13
registerguard,2014,11
registerguard,2015,6
registerguard,2016,9
registerguard,2017,15
registerguard,2018,9
registerguard,2019,2
resolve-philly,2019,2
resolve-philly,2024,2
reuters-graphics,2019,1
reuters-graphics,2020,34
reuters-graphics,2021,27
reuters-graphics,2022,2
reuters-graphics,2023,1
reuters-graphics,2024,3
reuters-graphics,2025,3
rferl,2022,1
rferl,2023,1
rferl,2025,1
rgnewsroom,2014,5
rji-futures-lab,2018,4
rji-futures-lab,2019,8
rji-futures-lab,2020,6
rji-futures-lab,2021,3
row-engineering,2023,1
row-engineering,2024,1
sa-express-news,2014,7
sa-express-news,2015,1
sa-express-news,2017,48
sa-express-news,2018,17
sa-express-news,2019,5
sahanjournal,2023,1
sahanjournal,2025,5
scmp,2019,1
scmp,2020,3
scpr,2011,2
scpr,2012,7
scpr,2013,18
scpr,2014,15
scpr,2015,11
scpr,2016,10
scpr,2017,4
scpr,2018,11
scpr,2019,5
scpr,2020,2
scpr,2021,1
sdut-datadesk,2020,1
sdut-datadesk,2021,7
sdut-datadesk,2022,1
seattletimes,2012,1
seattletimes,2014,23
seattletimes,2015,88
seattletimes,2016,90
seattletimes,2017,61
seattletimes,2018,65
seattletimes,2019,50
seattletimes,2020,50
seattletimes,2021,19
seattletimes,2022,10
seattletimes,2025,6
sfchronicle,2015,12
sfchronicle,2016,49
sfchronicle,2017,79
sfchronicle,2018,20
sfchronicle,2019,3
sfchronicle,2020,1
sfchronicle,2021,2
sfchronicle,2022,10
sfchronicle,2023,6
sfchronicle,2024,1
sfchronicle,2025,1
slategroup,2012,1
slategroup,2013,1
slategroup,2016,1
slategroup,2017,2
slategroup,2018,1
slategroup,2019,1
sourcefabric,2010,2
sourcefabric,2023,1
southsideweekly,2018,3
southsideweekly,2019,2
southsideweekly,2021,2
spiegelgraphics,2021,3
spiegelgraphics,2022,3
spiegelgraphics,2023,3
spiegelgraphics,2024,2
spiegelgraphics,2025,3
spiritedmedia,2016,3
spiritedmedia,2017,2
spiritedmedia,2018,1
spiritedmedia,2019,1
spotlightpa,2019,5
spotlightpa,2020,5
spotlightpa,2021,6
spotlightpa,2022,2
spotlightpa,2023,4
spotlightpa,2024,2
spotlightpa,2025,6
srfdata,2015,9
srfdata,2016,3
srfdata,2017,8
srfdata,2018,6
srfdata,2019,13
statesman,2014,24
statesman,2015,44
statesman,2016,14
statesman,2017,6
statesman,2018,7
statesman,2019,1
statesman,2020,1
statesnewsroom,2022,1
stlpublicradio,2014,25
stlpublicradio,2015,3
stlpublicradio,2016,3
stlpublicradio,2017,1
stlpublicradio,2018,1
stlpublicradio,2019,3
stlpublicradio,2020,1
stlpublicradio,2021,2
stlpublicradio,2023,8
storyful,2013,1
storyful,2016,1
storyful,2017,1
storyful,2021,1
storyful,2022,1
storyful,2023,1
striblab,2017,53
striblab,2018,61
striblab,2019,52
striblab,2020,37
striblab,2021,4
striblab,2022,6
striblab,2023,2
striblab,2024,3
striblab,2025,3
sueddeutsche,2016,3
sueddeutsche,2017,11
sueddeutsche,2018,2
sueddeutsche,2019,4
sueddeutsche,2020,7
sueddeutsche,2021,1
sueddeutsche,2022,2
sueddeutsche,2023,1
sueddeutsche,2025,2
sunlightlabs,2008,2
sunlightlabs,2009,11
sunlightlabs,2010,27
sunlightlabs,2011,32
sunlightlabs,2012,35
sunlightlabs,2013,24
sunlightlabs,2014,29
sunlightlabs,2015,26
sunlightlabs,2016,37
sunlightlabs,2017,1
sunsentinel,2016,4
sunsentinel,2017,2
sunsentinel,2018,7
sunsentinel,2019,1
sunsentinel,2020,1
sunsentinel,2021,1
tageswoche,2012,2
tageswoche,2013,2
tageswoche,2016,4
tageswoche,2017,8
tageswoche,2018,5
tarbell-project,2012,1
tarbell-project,2013,1
tarbell-project,2014,1
tbtimes,2013,1
tbtimes,2014,2
tbtimes,2015,1
tbtimes,2016,8
tbtimes,2017,2
tbtimes,2018,3
tbtimes,2025,2
teamtrace,2019,1
technologyreview,2014,2
technologyreview,2015,1
technologyreview,2017,1
technologyreview,2019,1
telegraph,2020,1
texastribune,2010,2
texastribune,2011,3
texastribune,2012,13
texastribune,2013,21
texastribune,2014,41
texastribune,2015,34
texastribune,2016,20
texastribune,2017,12
texastribune,2018,8
texastribune,2019,7
texastribune,2020,2
texastribune,2021,1
texastribune,2024,1
texty,2012,1
texty,2015,5
texty,2016,15
texty,2017,20
texty,2018,40
texty,2019,37
texty,2020,14
texty,2021,19
texty,2022,20
texty,2023,20
texty,2024,6
texty,2025,8
the-19th,2024,1
the-baltimore-banner,2022,8
the-baltimore-banner,2023,14
the-baltimore-banner,2024,1
the-baltimore-banner,2025,7
the-irish-times,2018,1
the-markup,2020,16
the-markup,2021,33
the-markup,2022,14
the-markup,2023,11
the-markup,2024,5
the-markup,2025,3
the-politico,2017,25
the-politico,2018,36
the-politico,2019,19
the-politico,2020,7
the-politico,2021,6
the-politico,2022,3
the-pudding,2016,4
the-pudding,2017,16
the-pudding,2018,34
the-pudding,2019,53
the-pudding,2020,45
the-pudding,2021,27
the-pudding,2022,26
the-pudding,2023,27
the-pudding,2024,31
the-pudding,2025,14
theadvocate,2014,1
theatlantic,2011,10
theatlantic,2012,4
theatlantic,2013,9
theatlantic,2014,2
theatlantic,2015,2
theatlantic,2016,3
theatlantic,2017,6
theatlantic,2018,8
theatlantic,2019,2
theatlantic,2023,1
theatlantic,2025,1
thechicagoreporter,2016,3
thechicagoreporter,2017,3
thechicagoreporter,2018,2
thechicagoreporter,2019,1
thechicagoreporter,2020,4
thecityny,2020,3
thecityny,2021,3
thecityny,2022,13
thecityny,2023,5
thecityny,2025,5
theeconomist,2018,3
theeconomist,2020,6
theeconomist,2021,9
theeconomist,2022,7
theeconomist,2023,8
theeconomist,2024,3
theeconomist,2025,3
thegazette,2013,1
thegazette,2014,11
thegazette,2019,1
thegazette,2022,1
thegazette,2024,1
thelens,2014,3
thelens,2015,6
thelens,2016,2
themarshallproject,2015,6
themarshallproject,2016,4
themarshallproject,2017,1
themarshallproject,2018,2
themarshallproject,2019,2
themarshallproject,2020,6
themarshallproject,2021,4
themarshallproject,2022,2
themarshallproject,2025,3
theonion,2012,1
theonion,2013,7
theonion,2014,25
theonion,2015,34
theonion,2016,5
theonion,2017,1
theoregonian,2016,6
theoregonian,2017,2
theoregonian,2019,3
theparanoids,2018,1
theparanoids,2019,2
theparanoids,2020,5
theparanoids,2021,2
theparanoids,2022,4
theparanoids,2023,1
therapplers,2018,2
theupshot,2013,2
theupshot,2014,13
theupshot,2015,4
theupshot,2016,3
theupshot,2017,2
theupshot,2018,1
theupshot,2020,1
thomsonreuters,2013,2
thomsonreuters,2015,6
thomsonreuters,2016,2
thomsonreuters,2017,18
thomsonreuters,2018,14
thomsonreuters,2019,1
thomsonreuters,2021,1
thomsonreuters,2024,2
thomsonreuters,2025,2
thunderdome-data,2014,37
timemagazine,2013,2
timemagazine,2014,5
timemagazine,2015,7
timemagazine,2016,6
timemagazine,2017,6
timemagazinelabs,2013,1
timemagazinelabs,2014,2
timemagazinelabs,2015,1
timemagazinelabs,2017,3
timemagazinelabs,2018,1
timemagazinelabs,2019,5
timemagazinelabs,2020,1
timemagazinelabs,2021,1
times,2013,1
times,2014,13
times,2015,6
times,2016,6
times,2017,7
times,2018,3
times,2019,3
times,2025,3
trendct,2015,22
trendct,2016,13
tribune,2011,4
tribune,2012,9
tribune,2014,1
tribune,2018,4
tribune,2021,1
tribune,2023,1
twreporter,2015,6
twreporter,2016,9
twreporter,2017,8
twreporter,2018,1
twreporter,2019,2
twreporter,2020,2
twreporter,2022,4
twreporter,2023,1
twreporter,2025,2
usafacts,2022,1
usatoday,2016,1
usatoday,2018,1
usatoday,2021,1
usatoday,2022,3
usatoday,2023,1
usatoday,2024,1
usatoday,2025,2
vgno,2011,4
vgno,2012,1
vgno,2013,5
vgno,2014,6
vgno,2015,18
vgno,2016,9
vgno,2017,1
vgno,2019,2
vgno,2021,1
vgno,2022,3
vgno,2023,1
vgno,2024,1
vicemedia,2015,1
vicemedia,2016,4
vicemedia,2017,3
vicemedia,2018,5
vicemedia,2019,3
vicemedia,2020,3
vicemedia,2021,2
voanews,2017,2
voanews,2018,1
voanews,2019,1
voxmedia,2012,2
voxmedia,2013,2
voxmedia,2014,15
voxmedia,2015,14
voxmedia,2016,11
voxmedia,2017,5
voxmedia,2018,5
voxmedia,2019,8
voxmedia,2020,5
voxmedia,2021,1
voxmedia,2022,8
voxmedia,2023,9
voxmedia,2025,2
vprnet,2013,5
vprnet,2014,29
vprnet,2015,16
vprnet,2016,8
vprnet,2017,6
vprnet,2025,1
washingtoncitypaper,2015,1
washingtoncitypaper,2016,3
washingtonpost,2012,2
washingtonpost,2013,2
washingtonpost,2014,2
washingtonpost,2015,10
washingtonpost,2016,18
washingtonpost,2017,5
washingtonpost,2018,8
washingtonpost,2019,5
washingtonpost,2020,8
washingtonpost,2021,5
washingtonpost,2022,9
washingtonpost,2023,2
washingtonpost,2024,2
washingtonpost,2025,1
washingtonpost-archive,2012,8
washingtontimes,2009,1
wbez,2012,1
wbez,2015,12
wbez,2016,12
wbez,2017,2
wbez,2019,1
wbez,2020,1
wbez,2021,1
wbez,2022,1
wbez,2025,1
wbur,2020,3
wbur,2021,2
wbur,2022,1
wearehearken,2017,1
wearehearken,2019,1
wearehearken,2020,1
wgbh,2010,1
wgbh,2011,3
wgbh,2012,1
wgbh,2013,2
wgbh,2014,2
wgbh,2015,4
wgbh,2016,10
wgbh,2017,3
wgbh,2018,1
wgbh,2019,8
wgbh,2021,3
wireservice,2011,2
wireservice,2014,1
wireservice,2015,5
wireservice,2016,6
wireservice,2017,1
wireservice,2019,1
wnpr,2019,2
wnyc,2011,2
wnyc,2012,5
wnyc,2013,26
wnyc,2014,12
wnyc,2015,1
wnyc,2016,1
worldcompany,2010,1
worldcompany,2012,1
wpinvestigative,2017,3
wpinvestigative,2018,2
wpinvestigative,2019,2
wpinvestigative,2020,5
wpinvestigative,2021,9
wpinvestigative,2022,1
wraldata,2014,5
wraldata,2015,3
wraldata,2016,1
wraldata,2018,2
wraldata,2019,1
wraldata,2020,2
wsj,2015,5
wsj,2016,2
wsj,2017,2
wsj,2020,1
yleisradio,2013,3
yleisradio,2014,9
yleisradio,2015,4
yleisradio,2016,5
yleisradio,2017,4
yleisradio,2018,5
yleisradio,2019,4
yleisradio,2020,3
yleisradio,2021,4
youthradio,2012,4
youthradio,2013,3
youthradio,2014,5
youthradio,2015,8
youthradio,2016,2
youthradio,2017,10
youthradio,2018,14
youthradio,2019,9
youthradio,2020,13
youthradio,2021,4
zeitonline,2012,4
zeitonline,2013,2
zeitonline,2014,2
zeitonline,2015,46
zeitonline,2016,8
zeitonline,2017,14
zeitonline,2018,20
zeitonline,2019,16
zeitonline,2020,8
zeitonline,2021,4
zeitonline,2022,3
zeitonline,2023,7
zeitonline,2024,5
zeitonline,2025,9
